product_id,spec_name,spec_value
P000001,loại_case,Mid Tower
P000001,hỗ_trợ_quạt,Mặt trước: 3 x 120 mm / 2 x 140 mmMặt trên: 3 x 120 mm / 2 x 140 mmMặt sau: 1 x 120 mmMặt bên: 2 x 120 mmVỏ bọc PSU: 2 x 120 mm
P000001,số_khe_cắm_pci,7
P000001,kích_thước,472.5 x 210 x 498 mm
P000001,hãng_sản_xuất,MSI
P000002,hãng_sản_xuất,Jonsbo
P000002,loại_tản_nhiệt,Tản nhiệt khí
P000002,số_vòng_quay_của_quạt,2000 RPM ±10%
P000002,độ_ồn_(dba),≤ 26.5 dB(A)
P000002,kết_nối,1 x 3-pin
P000003,kích_thước,M-ATX
P000003,hãng_sản_xuất,MSI
P000003,chipset,AMD
P000003,socket,AM4
P000003,khe_ram_tối_đa,2
P000003,kiểu_ram_hỗ_trợ,DDR4
P000003,dung_lượng_ram_tối_đa,64GB
P000003,số_cổng_usb,2x USB 2.0 (Phía sau) 4x USB 2.0 (Phía trước) 4x USB 5Gbps Type A (Phía sau) 2x USB 5Gbps Type A (Phía trước)
P000003,lan,Bộ điều khiển LAN Realtek 8125 2.5Gbps
P000003,âm_thanh,Realtek ALC897 Codec Âm thanh độ nét cao 7.1 kênh
P000004,hãng_sản_xuất,Transcend
P000004,loại_ổ_cứng,SSD
P000004,kết_nối_2,M2 PCIe
P000004,dung_lượng,512GB
P000004,tốc_độ_đọc,1700 MB/s
P000004,hỗ_trợ_hệ_điều_hành,Microsoft Windows 7 trở lênLinux Kernel 2.6.31 trở lên
P000005,hãng_sản_xuất,MSI
P000005,công_suất_nguồn,850W
P000005,quạt_làm_mát,1 x Fan 12 cm
P000005,tiêu_chuẩn_nguồn,80 Plus Gold
P000006,hãng_sản_xuất,XIGMATEK
P000006,loại_tản_nhiệt,Tản nhiệt khí
P000006,số_vòng_quay_của_quạt,1200 RPM ±10%
P000007,hãng_sản_xuất,XIGMATEK
P000007,loại_tản_nhiệt,Tản nhiệt nước
P000007,số_vòng_quay_của_quạt,Quạt: 600~2000 vòng/phút ±10%Máy bơm: 600~3000 vòng/phút ±10%Áp suất không khí: 2.78mm-H2O
P000007,độ_ồn_(dba),Quạt: ≤29.8dBA Máy bơm: ≤15dBA
P000008,loại_case,Mid Tower
P000008,hỗ_trợ_quạt,Fan hệ thống - Trước: 120mm x 3 (lắp sẵn) Sau: 120mm fan x 1 (tùy chọn) Nóc: 120mm fan x 2 (tùy chọn)
P000008,số_khe_cắm_pci,4
P000008,kích_thước,386 x 200 x 411 mm
P000008,hãng_sản_xuất,XIGMATEK
P000008,kết_nối,USB3.0 x 1 USB2.0 x1 Audio in/out x 1 (HD Audio)
P000009,hãng_sản_xuất,Sandisk
P000009,kết_nối,USB-C (USB 3.2 Gen 2)
P000009,loại_ổ_cứng,SSD
P000009,hỗ_trợ_hệ_điều_hành,Windows 10+ macOS 14 trở lên iOS/iPadOS 17+ Android 14+ Lưu ý: Định dạng bằng exFAT để tương thích
P000009,dung_lượng_ổ_cứng,2TB
P000009,chất_liệu,Vỏ silicon
P000009,tính_năng_khác,Hỗ trợ quay video ở định dạng Apple ProRes 4k/60fps Khả năng chống nước và bụi IP65
P000010,hãng_sản_xuất,VSP
P000010,dung_lượng,16GB
P000010,loại_ram,DDR4
P000010,bus_ram,3200MHz
P000010,hỗ_trợ,"DIMM (PC, Desktop)"
P000010,độ_trễ,CL18 (18 - 22 - 22 - 42)
P000010,điện_áp,1.35V
P000010,đèn_led,Không hỗ trợ LED
P000010,nhiệt_độ_hoạt_động,0°C ~ +85°C
P000011,hãng_sản_xuất,Intel
P000011,chipset,Intel
P000011,socket,FCLGA1700
P000011,dòng_sản_phẩm,Core i5
P000011,thế_hệ_cpu,Intel thế hệ 12
P000011,số_nhân,6
P000011,số_luồng,12
P000011,tốc_độ_xử_lý,Cơ bản 3.00 GHzTurbo tối đa 4.60 GHz
P000011,cache,L1: 18 MBL2: 7.5 MB
P000011,phiên_bản_pci_express,PCIe 5.0 và PCIe 4.0
P000011,chip_đồ_họa,Intel UHD Graphics 770
P000011,điện_năng_tiêu_thụ,65 W (Tối đa 117 W)
P000011,công_nghệ_hỗ_trợ,Công nghệ Intel GNA 3.0Tăng cường học sâu Intel® Deep Learning BoostCông Nghệ Intel® Turbo Boost Max 3.0Công nghệ Intel® Turbo Boost 2.0Intel® 64Công nghệ Intel SpeedStep®
P000012,kích_thước,M-ATX
P000012,hãng_sản_xuất,MSI
P000012,chipset,Intel
P000012,socket,LGA 1700
P000012,khe_ram_tối_đa,4
P000012,kiểu_ram_hỗ_trợ,DDR4
P000012,dung_lượng_ram_tối_đa,128GB
P000012,lan,Realtek® RTL8125BG 2.5G LAN
P000012,âm_thanh,Realtek® ALC897 CodecÂm thanh độ phân giải cao 7.1 kênh
P000013,hãng_sản_xuất,Transcend
P000013,kết_nối,USB-C
P000013,loại_ổ_cứng,SSD
P000013,tốc_độ_đọc,2000 MB/s
P000013,hỗ_trợ_hệ_điều_hành,Microsoft Windows macOS iOS/iPadOS Linux ChromeOS Android
P000013,dung_lượng_ổ_cứng,2TB
P000013,tính_năng_khác,Chống nước IPX5Đạt thử nghiệm thả rơi của quân đội Hoa Kỳ MIL-STD-810GTiêu chuẩn mã hóa nâng cao (AES) 256 bit Bộ nhớ flash 3D NAND
P000013,tốc_độ_ghi,2000 MB/s
P000014,kích_thước,ATX
P000014,hãng_sản_xuất,Gigabyte
P000014,chipset,Intel
P000014,socket,LGA 1700
P000014,khe_ram_tối_đa,4
P000014,kiểu_ram_hỗ_trợ,DDR4
P000014,dung_lượng_ram_tối_đa,128GB
P000014,số_cổng_usb,1 x USB Type-C® 1 x USB Type-C® 2 x USB 3.2 Gen 2 Type-A 5 x USB 3.2 Gen 1 ports 8 x USB 2.0/1.1 ports
P000014,lan,Realtek® 2.5GbE
P000014,âm_thanh,Realtek® Audio CODEC High Definition Audio
P000015,hãng_sản_xuất,Corsair
P000015,loại_tản_nhiệt,Tản nhiệt nước
P000015,số_vòng_quay_của_quạt,550 - 2100 RPM ±10%
P000015,chất_liệu_2,Vật liệu làm lạnh: ĐồngVật liệu tản nhiệt: Nhôm
P000016,hãng_sản_xuất,Kingston
P000016,loại_ổ_cứng,SSD
P000016,kết_nối_2,M2 PCIe
P000016,dung_lượng,1TB
P000016,tốc_độ_đọc,7000 MB/s
P000017,hãng_sản_xuất,MSI
P000017,công_suất_nguồn,650W
P000017,quạt_làm_mát,1 x Fan 12 cm
P000017,tiêu_chuẩn_nguồn,80 Plus Bronze
P000018,hãng_sản_xuất,MSI
P000018,công_suất_nguồn,1000W
P000018,quạt_làm_mát,1 x Fan 13.5 cm
P000018,tiêu_chuẩn_nguồn,80 Plus Gold
P000019,hãng_sản_xuất,Intel
P000019,chipset,Intel
P000019,socket,FCLGA1851
P000019,dòng_sản_phẩm,Core Ultra 5
P000019,thế_hệ_cpu,Intel thế hệ 14
P000019,số_nhân,14
P000019,số_luồng,14
P000019,tốc_độ_xử_lý,3.6 GHz - 5.2 GHz
P000019,cache,L1: 24 MBL2: 26 MB
P000019,phiên_bản_pci_express,5.0 và 4.0
P000019,chip_đồ_họa,Intel Graphics
P000019,điện_năng_tiêu_thụ,125 W (Tối đa 159 W)
P000019,công_nghệ_hỗ_trợ,Công nghệ Intel GNA 3.5Công nghệ Intel® Thread DirectorCông nghệ Intel® Turbo Boost 2.0Intel® 64Công nghệ Intel® AI Boost
P000019,chip_ai,Intel AI Boost (13 TOPS)
